optimizer,metric,mean,std,min,max,count,ci_95_lower,ci_95_upper
SGD,final_spectral_radius,0.9485014360141442,0.0582653297032567,0.8793848149332354,1.0261514928204012,5,0.8761554737781377,1.0208473982501505
SGD,iterations_to_target,1442.4,192.7441309093483,1117.0,1608.0,5,1203.0765517847885,1681.7234482152116
SGD,time_to_target,291.30541752761377,65.08084990499692,213.75410837434836,378.9606407753696,5,210.4968692280761,372.11396582715145
SGD,val_loss,0.1160888701743382,0.011895881070813998,0.09974337759331152,0.12993428306022464,5,0.10131818292179479,0.1308595574268816
Adam,final_spectral_radius,0.9182339648203139,0.05337211980417477,0.8630100725514618,0.9940911273803575,5,0.8519637251516519,0.984504204488976
Adam,iterations_to_target,1097.0,124.51907484397722,906.0,1216.0,5,942.3891476765932,1251.6108523234068
Adam,time_to_target,232.4734950259279,35.62090962857243,196.87255804406277,282.90179648412754,5,188.24429395685962,276.70269609499616
Adam,val_loss,0.09154798117423316,0.012540488863143538,0.08099041965121792,0.11198473153382331,5,0.07597690763299254,0.10711905471547377
SVRG,final_spectral_radius,0.9136665689787111,0.021931778319093015,0.8884475315875106,0.9317136667865675,5,0.8864346694233074,0.9408984685341149
SVRG,iterations_to_target,959.6,91.2732162246954,823.0,1061.0,5,846.2693334135279,1072.9306665864722
SVRG,time_to_target,226.66035921967767,16.816344160025114,206.18083687120637,250.92998567487854,5,205.78011009477032,247.54060834458502
SVRG,val_loss,0.0661748467113357,0.009055872758035701,0.05521478009632573,0.07738466579995411,5,0.054930495535368516,0.07741919788730287
