optimizer1,optimizer2,mean1,mean2,statistic,p_value,significant,effect_size,test_name
Adam,SGD,232.4734950259279,291.30541752761377,-1.77314553119274,0.11413748663877694,False,-1.121435700303639,Independent t-test
Adam,SVRG,232.4734950259279,226.66035921967767,0.3299895439304777,0.7498829253011505,False,0.20870371257210033,Independent t-test
SGD,SVRG,291.30541752761377,226.66035921967767,2.1504655608004217,0.06372904940831317,False,1.3600738403761277,Independent t-test
