Optimizer,Final Val Loss,Total Iterations,Total Epochs,Training Time (min),Mean Grad Variance,Spectral Radius
Adam,3.857338650774957e-06,15100,1,0.9824985067049662,3.076953209659093e-05,0.9934433698654175
SGD,2.0660173811691613e-07,145300,5,7.139467922846476,1.8023876356306512e-06,0.9958993792533875
SVRG,2.394572313209855e-06,125000,5,22.840485322475434,2.44441405609086e-07,0.9296041131019592
