Optimizer,Final Val Loss,Total Iterations,Total Epochs,Mean Grad Variance
Adam,0.45490181086089476,1700,1,0.0013567762507591397
SGD,0.45483648853520753,9400,4,4.708728665718809e-05
SVRG,0.4548851888288151,9800,4,1.524078741113044e-05
